isReoccurring,isReoccuring_manual,title,catalog,Veranstaltungsart,Langtext,Veranstaltungsnummer,Kurztext,Semester,SWS,Erwartete Teilnehmer,Max. Teilnehmer,Credits,Credits_manual,Belegung,Zeitfenster,Hyperlink,Weitere Links,Sprache,Belegungsfristen,,Tag,Zeit,Rhythmus,Dauer,Raum,Raum- plan,Status,Location,Bemerkung,fällt aus am,Max. Teilnehmer,Zuständigkeit,Ausgeschlossen_Ingenieurwissenschaften_Bachelor,Ausgeschlossen_manual,Exam,Graded,total,# ratings,fairness,support,material,comprehensibility,fun,interesting,grade/effort,recommendation (0-100),link
false,false,"Nachhaltige Entwicklung und Transformation - Verständnis, Herausforderungen sowie Möglichkeiten der Umsetzung in ausgewählten Handlungsfeldern",BNE,Blockseminar,,,,WiSe 2019/20,,20,20,2 - 2,2,Belegpflicht,,,Studium liberale im IOS (Modul E3),Deutsch,E3 Abmelden Sem 25.09.2019 16:00:00 - 31.03.2020 23:59:59 aktuell;E3 Zwischenabmeldung 24.09.2019 09:30:01 - 25.09.2019 15:59:59;E3 Losfrist 18.09.2019 10:30:00 - 24.09.2019 09:30:00,;;Studium liberale (E3);;,Mi.;-.;-.;,16:00 bis 17:00;10:00 bis 16:00;10:00 bis 16:00;,EinzelT;Block+SaSo;Block+SaSo;,am 04.12.2019;20.12.2019 bis 21.12.2019;06.12.2019 bis 07.12.2019;,S06S - S06 S00 A21;S06S - S06 S03 B06;S06S - S06 S00 B29;,;;;,;;;,Essen,verpflichtende Vorbesprechung;Blockseminar;Blockseminar;,;;;,20;20;20;,;,-,Erziehungswissenschaft (1. FS);Erziehungswissenschaft (2. FS);Erziehungswissenschaft (3. FS),Schriftliche Ausarbeitung,no,,,,,,,,,,,https://campus.uni-due.de/lsf/rds;jsessionid=16A7FF6C92029935D67D88C028E47A90.pas082cm?state=verpublish&status=init&vmfile=no&publishid=337493&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
false,false,Sustainable Development Goals - Verständnis und Herausforderungen für das Handlungsfeld „Produktion und Konsum”,BNE,Blockseminar,,,,WiSe 2019/20,,20,20,2 - 2,2,Belegpflicht,,,Studium liberale im IOS (Modul E3),Deutsch,E3 Direkte Zulassung/Warteliste Sem 25.09.2019 16:00:00 - 31.03.2020 23:59:59 aktuell;E3 Zwischenabmeldung 24.09.2019 09:30:01 - 25.09.2019 15:59:59;E3 Losfrist 18.09.2019 10:30:00 - 24.09.2019 09:30:00,;;Studium liberale (E3);;,Di.;-.;-.;,16:00 bis 17:00;10:00 bis 16:00;10:00 bis 16:00;,EinzelT;Block+SaSo;Block+SaSo;,am 07.01.2020;24.01.2020 bis 25.01.2020;10.01.2020 bis 11.01.2020;,S06S - S06 S01 A31;S06S - S06 S01 B29;S06S - S06 S01 A31;,;;;,;;;,Essen,verpflichtende Vorbesprechung;Blockseminar;Blockseminar;,;;;,20;20;20;,;,-,Erziehungswissenschaft (1. FS);Erziehungswissenschaft (2. FS);Erziehungswissenschaft (3. FS),Klausur,no,,,,,,,,,,,https://campus.uni-due.de/lsf/rds;jsessionid=16A7FF6C92029935D67D88C028E47A90.pas082cm?state=verpublish&status=init&vmfile=no&publishid=337492&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
false,false,Nachhaltige Nanotechnologie,BNE,Vorlesung/Übung,,,,WiSe 2019/20,3,,10,4 - 4,4,Belegpflicht,,,Studium liberale im IOS (Modul E3),Deutsch,E3 Zwischenabmeldung 24.09.2019 09:30:01 - 25.09.2019 15:59:59;E3 Abmelden KW42 07.10.2019 09:00:01 - 31.03.2020 23:59:59 aktuell;E3 Direkte Zulassung/Warteliste KW42 25.09.2019 16:00:00 - 07.10.2019 09:00:00;E3 Losfrist 18.09.2019 10:30:00 - 24.09.2019 09:30:00,;Studium liberale (E3);Institut für Optionale Studien IOS;,Mo.;,08:15 bis 11:00;,wöch.;,von 14.10.2019;,;,;,;,Duisburg (B),D - BC 003;,;,10;,;,ALLE,IngWi;Energy,Mündliche Prüfung,yes,,,,,,,,,,,https://campus.uni-due.de/lsf/rds;jsessionid=16A7FF6C92029935D67D88C028E47A90.pas082cm?state=verpublish&status=init&vmfile=no&publishid=332778&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
true,true,Climate Change and Adaption Strategies within Urban Areas,BNE,Vorlesung,,,,WiSe 2019/20,,20,20,5 - 5,5,Belegpflicht,,,Studium liberale im IOS (Modul E3),Englisch,E3 Zwischenabmeldung 24.09.2019 09:30:01 - 25.09.2019 15:59:59;E3 Abmelden KW42 07.10.2019 09:00:01 - 31.03.2020 23:59:59 aktuell;E3 Direkte Zulassung/Warteliste KW42 25.09.2019 16:00:00 - 07.10.2019 09:00:00;E3 Losfrist 18.09.2019 10:30:00 - 24.09.2019 09:30:00,;Studium liberale (E3);;,Fr.;Do.;,10:00 bis 12:00;14:15 bis 18:15;,EinzelT;wöch.;,am 18.10.2019;24.10.2019 bis 12.12.2019;,;;,;;,;;,Essen,E - V15 R01 H76 (Auftaktveranstaltung);E - SA 215 (VO);,;;,;;,;,-,-,Klausur,yes,,,,,,,,,,,https://campus.uni-due.de/lsf/rds;jsessionid=16A7FF6C92029935D67D88C028E47A90.pas082cm?state=verpublish&status=init&vmfile=no&publishid=332529&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
false,false,"Ruhr Lecture – Key Issues in Metropolitan Research: Methodologies in Metropolitan Research – Disciplinary Differences, Challenges and Solutions",BNE,Vorlesung,,,,WiSe 2019/20,,30,30,3 - 3,3,Belegpflicht,,,Studium liberale im IOS (Modul E3),Englisch,E3 Abmelden Sem 25.09.2019 16:00:00 - 31.03.2020 23:59:59 aktuell;E3 Zwischenabmeldung 24.09.2019 09:30:01 - 25.09.2019 15:59:59;E3 Losfrist 18.09.2019 10:30:00 - 24.09.2019 09:30:00,;;;;Studium liberale (E3);;;;;,Mo.;Mo.;Mo.;Mo.;Mo.;Mo.;Mo.;Mo.;,16:00 bis 19:00;16:00 bis 19:00;16:00 bis 19:00;16:00 bis 19:00;16:00 bis 19:00;16:00 bis 19:00;16:00 bis 19:00;16:00 bis 19:00;,EinzelT;EinzelT;EinzelT;EinzelT;EinzelT;EinzelT;EinzelT;EinzelT;,am 11.11.2019;am 09.12.2019;am 06.01.2020;am 20.01.2020;am 25.11.2019;am 16.12.2019;am 13.01.2020;am 27.01.2020;,;;;;;;;;,;;;;;;;;,;;;;;;;;,Dortmund;Bochum;Essen,"TU Dortmund, Rudolf-Chaudoire Pavillon;TU Dortmund, Rudolf-Chaudoire Pavillon;RUBochum, Blue Square;UDE, R12 S00 H12;TU Dortmund, Rudolf-Chaudoire Pavillon;RUBochum, Blue Square;UDE, R12 S00 H12;UDE, R12 S00 H12;",;;;;;;;;,;;;;;;;;,;;;,-,-,Klausur,yes,,,,,,,,,,,https://campus.uni-due.de/lsf/rds;jsessionid=16A7FF6C92029935D67D88C028E47A90.pas082cm?state=verpublish&status=init&vmfile=no&publishid=332528&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
true,true,Einführung in Nachhaltige Entwicklung,BNE,Blockseminar,,,,WiSe 2019/20,,,35,2 - 3,2;3,Belegpflicht,,,Studium liberale im IOS (Modul E3),Deutsch,E3 Direkte Zulassung/Warteliste Sem 25.09.2019 16:00:00 - 31.03.2020 23:59:59 aktuell;E3 Zwischenabmeldung 24.09.2019 09:30:01 - 25.09.2019 15:59:59;E3 Losfrist 18.09.2019 10:30:00 - 24.09.2019 09:30:00,";;Bachelor, Bachelor;;;Studium liberale (E3);",Mo.;-.; - ;-.;Fr.;,16:15 bis 17:45;10:00 bis 17:00;;10:00 bis 17:00;09:00 bis 10:00;,EinzelT;Block+SaSo;;Block+SaSo;EinzelT;,am 13.01.2020;21.02.2020 bis 22.02.2020;;07.02.2020 bis 08.02.2020;am 06.03.2020;,T03R - T03 R04 C07;R12R - R12 R04 B02;;R12R - R12 R04 B02;A - A-B07;,;;Institut für Optionale Studien IOS;;;,;;;;,Essen,Vorbesprechung;Fr/Sa;Fr/Sa;Klausur;,;;;;,;;;;,verantwort;,-,-,Präsentation;Klausur,yes,,,,,,,,,,,https://campus.uni-due.de/lsf/rds;jsessionid=16A7FF6C92029935D67D88C028E47A90.pas082cm?state=verpublish&status=init&vmfile=no&publishid=327175&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
false,false,Green and Sustainable Chemistry,BNE,Vorlesung,,,,WiSe 2019/20,,,20,5,5,Belegpflicht,,,Institut für Optionale Studien IOS,Englisch,E3 Abmelden Sem 25.09.2019 16:00:00 - 31.03.2020 23:59:59 aktuell,;Institut für Optionale Studien IOS;Studium liberale (E3);,Do.;,10:00 bis 12:00;,wöch.;,10.10.2019 bis 30.01.2020;,;,;,;,Bochum,HNC 30 (Ruhr Uni Bochum);,;,20;,;,Elektrotechnik und Informationstechnik;ISE;Maschinenbau;Medizintechnik;Nano Engineering,Bio;Chemie;EIT;ISE;Maschinenbau;Medizintechnik;NanoEng,Klausur,yes,,,,,,,,,,,https://campus.uni-due.de/lsf/rds;jsessionid=16A7FF6C92029935D67D88C028E47A90.pas082cm?state=verpublish&status=init&vmfile=no&publishid=332977&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
false,false,„Go Green“: Umwelt- und Nachhaltigkeitserziehung an der Schnittstelle von formaler und informeller Bildung,BNE,Seminar,,,,WiSe 2019/20,,,18,2 - 3,2;3,Belegpflicht,,,Studium liberale im IOS (Modul E3),Deutsch,E3 Abmelden Sem 25.09.2019 16:00:00 - 31.03.2020 23:59:59 aktuell,;Studium liberale (E3);,Mi.;,16:00 bis 18:00;,wöch.;,von 23.10.2019;,;,;,;,Bochum,RUB - GA 03/42;,;,;,,-,,unknown,yes,,,,,,,,,,,https://campus.uni-due.de/lsf/rds;jsessionid=16A7FF6C92029935D67D88C028E47A90.pas082cm?state=verpublish&status=init&vmfile=no&publishid=337290&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
false,false,"Bildung für nachhaltige Entwicklung: Konzepte, Strategien, Umsetzungen",BNE,Blockseminar,,,,WiSe 2019/20,,5,5,4 - 4,4,Belegpflicht,,,Studium liberale im IOS (Modul E3),Deutsch,E3 Direkte Zulassung/Warteliste Sem 25.09.2019 16:00:00 - 31.03.2020 23:59:59 aktuell;E3 Zwischenabmeldung 24.09.2019 09:30:01 - 25.09.2019 15:59:59;E3 Losfrist 18.09.2019 10:30:00 - 24.09.2019 09:30:00,;;Studium liberale (E3);;;,Do.;Mi.;Mo.;Fr.;,16:00 bis 18:00;09:00 bis 18:00;09:00 bis 18:00;09:00 bis 18:00;,EinzelT;EinzelT;EinzelT;EinzelT;,am 16.01.2020;am 05.02.2020;am 03.02.2020;am 07.02.2020;,;;;;,;;;;,;;;;,Bochum,RUB - GABF 05/707 - Vorbesprechung*;RUB - GABF 05/707;RUB - GABF 05/707;RUB - GABF 05/707;,;;;;,5;5;5;5;,,-,,unknown,yes,,,,,,,,,,,https://campus.uni-due.de/lsf/rds;jsessionid=16A7FF6C92029935D67D88C028E47A90.pas082cm?state=verpublish&status=init&vmfile=no&publishid=333237&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
false,false,Sozialisation im Kontext der Ökonomisierung des Sozialen – Kritische Theorie reloaded,BNE,Blockseminar,,,,WiSe 2019/20,,,5,3 - 3,3,Belegpflicht,,,Studium liberale im IOS (Modul E3),Deutsch,E3 Abmelden Sem 25.09.2019 16:00:00 - 31.03.2020 23:59:59 aktuell,;;Studium liberale (E3);;;,Sa.;Sa.;Sa.;Sa.;,12:00 bis 18:00;12:00 bis 18:00;12:00 bis 18:00;12:00 bis 18:00;,EinzelT;EinzelT;EinzelT;EinzelT;,am 26.10.2019;am 25.01.2020;am 30.11.2019;am 15.02.2020;,;;;;,;;;;,;;;;,Bochum,RUB - GB 02/60;RUB - GB 02/60;RUB - GB 02/60;RUB - GB 02/60;,;;;;,;;;;,,-,,unknown,yes,,,,,,,,,,,https://campus.uni-due.de/lsf/rds;jsessionid=16A7FF6C92029935D67D88C028E47A90.pas082cm?state=verpublish&status=init&vmfile=no&publishid=337465&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
